"ID","TaxonID","Taxon","Trait","Data","Units","DataType","Method","SourceID","Region","Lat","Long","Alt","Accuracy","Comments"
"A14983",6689,"Halogeton sativus","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A14821",6689,"Halogeton sativus","DispMode","B","[9]","categorical","general reference","Consensus2017","U",,,,,
"A08256",5287,"Noaea mucronata","GrowthForm","subshrub","[13]","categorical","general reference","Consensus2017","U",,,,,
"A06771",5287,"Noaea mucronata","StemDensity","0.86","gr/cm3","quantitative","measure","Crivellaro2013","M",35.17,33.37,,"Low",
"A09777",5914,"Polycnemum majus","GrowthForm","annual forb","[13]","categorical","general reference","Castroviejo1986","U",,,,,
"A09082",5914,"Polycnemum majus","SLA","11.38","mm2/mg","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A09311",5914,"Polycnemum majus","LDMC","113.75","mg/g","quantitative","measure","Bochet2015","W",39.48333,-1.1,680,"High",
"A05255",2957,"Salsola genistoides","GrowthForm","subshrub","[13]","categorical","general reference","Tutin1964","U",,,,,
"A15401",2957,"Salsola genistoides","LeafDivision","simple","[2]","categorical","general reference","Wright2017","W",,,,,
"A14194",2957,"Salsola genistoides","LeafArea","4.96","mm2","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A15523",2957,"Salsola genistoides","LeafArea","16","mm2","quantitative","measure","Wright2017","W",36.89,-2.05,111,"High",
"A14436",2957,"Salsola genistoides","SLA","7.324","mm2/mg","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A13959",2957,"Salsola genistoides","Height","0.525","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A09974",2957,"Salsola genistoides","P50","-1.84","MPa","quantitative","compilation","Pausas2016b","W",37.02,-2.42,300,"High",
"A14668",2957,"Salsola genistoides","RootDepth","0.365","m","quantitative","measure","Cartagena2017","W",37.6,-0.88,,"Mod",
"A14910",2957,"Salsola genistoides","DispMode","W","[9]","categorical","general reference","Consensus2017","U",,,,,
"A02123",2957,"Salsola genistoides","FruitType","dry","[2]","categorical","general reference","Tutin1964","U",,,,,
